skillIndex,frameIndex,timestamp(s),energyBefore,energyAfter,glow1,glow2,glow3,glow4
2,192,3.200,2,1,0.379,0.544,0.365,0.390
2,896,14.933,2,1,0.371,0.450,0.405,0.393
1,1239,20.650,1,0,0.563,0.352,0.399,0.377
2,2041,34.017,2,1,0.377,0.557,0.360,0.364
3,2292,38.200,1,0,0.490,0.421,0.379,0.360
4,2779,46.317,1,0,0.372,0.331,0.378,0.495
1,3560,59.333,1,0,0.582,0.377,0.422,0.403
2,4651,77.517,1,0,0.333,0.349,0.379,0.367
2,5013,83.550,1,0,0.503,0.541,0.342,0.351
1,5469,91.150,1,0,0.333,0.367,0.333,0.352
